,Question,Metric,Dimension,Team most likely to ask,Notes,Example Question,Example Question Variation 1,Example Question Variation 2,Example Answer,Table Reference,Sample SQL
,Which [Sub-Region] in [Region] had the highest number of wholesale authentications last [Time Period]?,Wholesale First Time Authentications,"Region,
Sub-Region,
First Auth Date","Finance, Partner Marketing",,[If we stick to US this will not be a question we ask],[If we stick to US this will not be a question we ask],[If we stick to US this will not be a question we ask],[If we stick to US this will not be a question we ask],,
,How many subscribers are still on the [Signup Offer] in [Region]?,Paid Subscriber Balance w/ Estimates,"Region,
Signup Offer,
Reporting Date","Finance, Pricing",,"Of the Black Friday signups, how many are still paying subs?",How many Black Friday subs do we still have?,How many Black Friday subs are remaining?,XXk US HBO Max subs signed up for the Black Friday Deal offered on [Date]. Among those XXk (40%) are still paying subscribers as of the week ending Sunday May 14.,,
,How many subscribers were eligible for renewal last [Time Period] by [Tenure]?,Paid Eligible To Renew,"Subscription Tenure Group,
Subscription Event Date","Finance, Retention",,What percent of the eligible renew base does the 13+ month tenure make up?,What share of the total eligible to renew base do older tenure subs make up?,What percent of subs who were up for renewal last week were 13 months of older?,"Of the XXK subscribers eligible to renew last week ending Sunday May 7, 13% (xxK) have been paying subscribers for 13+ months.",,
,What was the top viewed [Title Name] last [Time Period] in [Region]?,Viewing Accounts (used to rank the title),"Region,
Title Name,
Reporting Date",Content,Engagement,What were the top titles last week?,What were the highest ranked titles by viewing accounts?,What titles drove the most viewers last week?,"[Title X], [Title Y], and Title Z were viewed by [X]k, [Y]k, and [Z]k viewing accounts respectively in the week ending Sunday May 14, 2023.",,
,How many first views did [Title Name] have last [Reporting Date] in [Sub-Region]?,First Viewing Accounts,"Title Name,
Reporting Date,
Sub-Region","Finance, Acquisition, Content",Engagement,How many first views did [x title] drive in the last 4 weeks?,How many subs signed up for [x title] in the past 4 weeks?,How did [x title] do in terms of acquisition in the past 4 weeks?,"[Title X] recieved Xk first views in the past 4 weeks ending Sunday May, 14, 2023",,
,What is the average content hours viewed per viewing subscriber in [Region]?,"Count Viewing Subscribers,
Total Hours Viewed","Stream Start Date,
Region",Content,Engagement,,,,,,
,How many people canceled their subscription last [Time Period]?,Paid Cancels or Estimate,Reporting Date,"Retention, Finance",Retention,,,,,,
,What was the [Region] [Subscriber Type] Churn Rate last [Time Period] by [Tenure]?,Periodic Churn Rate,"Subscriber Type (Retail/Hybrid/Wholesale)
Region,
Reporting Date,
Subscription Tenure Group","Retention, Finance",Retention,,,,,,
,What is the [Region] [Subscriber Type] Paid Churn last [Time Period] for the [Tenure] cohort?,Paid Churn,What were the [Subscriber Type] gross adds last [Time Period] by [Provider]?,,,,,,,,
,How many cancels did [Provider] see last [Time Period]?,Paid Cancels,"Provider,
Reporting Date","Retention, Partner Marketing",Retention,,,,,,
,What was the [Subscriber Type] Viewing Rate in the [Region] last [Time Period]?,Retail Viewing Rate,"Subscriber Type (Retail/Hybrid/Wholesale),
Reporting Date,
Region","Finance, Content, Product",Engagement,,,,,,
,What did % Disabled Auto Renew look like last [Time Period]?,% disabled auto renew,Reporting Date,,Retention,,,,,,
,What was the Month 1 Survival Rate last [Time Period]?,M1 Survival Rate,Reporting Date,,Retention,,,,,,
,How many subscribers switched to [SKU] [Plan Length] last [Time Period] in [Region]?,Paid Subscriber Balance w/ Estimates,"Region,
SKU,
Plan Length
Reporting Date",,,,,,,,
,What percent of our [Subscriber Type] viewing subscriber base is [Gender]?,Paid Subscriber Balance w/ Estimates,"Subscriber Type (Retail/Hybrid/Wholesale),
Gender (sourced from Merkle)",,,,,,,,
,How many subscribers watched [Title Name] in [Region] last [Time Period]?,Viewing Accounts,"Title Name,
Region,
Reporting Date",Content,Engagement,,,,,,
,What was the Blended SAC last [Time Period]?,Blended SAC,Reporting Date,,,,,,,,
,What was [SKU] 5 Year Lifetime Value (LTV) last [Time Period]?,5 Year LTV,"SKU,
Reporting Date",,Acquisition,,,,,,
,What was the Roll-to-Pay Conversion Rate for [Subscriber Type] last [Time Period]?,Roll-to-Pay Rate,"Subscriber Type (Retail/Hybrid/Wholesale),
Reporting Date",,Acquisition,,,,,,
,What was the viewership of [Title] by [Device Type]?,Viewing Accounts,"Title Name,
Friendly Device Name",,,,,,,,
