Title,SVoD Debut,SVoD Debut After
Brahmāstra Part Three / Brahmastra 3,Disney+ Hotstar,-
Breaking News in Yuba County,MGM+,188 days
Breeders,Starz,-
Brilliance,Paramount+,-
Bros,Peacock,63 days
Bullet Train,Netflix,120 days
Bullitt,HBO Max,-
Canallas,Movistar+,161 days
Candyman,MGM+,217 days
Captain America: New World Order,Disney+,-
Champions,Peacock,-
Chaos Walking,Starz,-
Chevalier,Disney+,-
Children of the Corn,Shudder,18 days
Christmas Bloody Christmas,Shudder,Day-and-Date
Christmas with the Campbells,AMC+,-
City Of Angels,HBO Max,-
Cleopatra,Paramount+,-
Clifford the Big Red Dog,Paramount+,Day-and-Date
Clue,Disney+,-
Cocaine Bear,Peacock,-
CODA,Apple,Day-and-Date
Competencia oficial / Official Competition,Star+ Latin America,84 days
"Confess, Fletch",Showtime,42 days
Corro da te / Running to you,"Amazon, NOW",109 days
Cosmetic,Netflix,-
Coyote Vs. Acme,HBO Max,-
Creepers,Starz,-
Cruella,Disney+,90 days
Cruella 2,Disney+,-
Cry Macho,HBO Max,Day-and-Date
Cyrano,Amazon,299 days
Dá Licença de Contar / Stories of Samba,Claro Video,-
DC League of Super-Pets,HBO Max,59 days
Deadpool 3,Hulu,-
Dear Evan Hansen,HBO Max,219 days
Death on the Nile,"Hulu, HBO Max",46 days
Der Spatz im Kamin / The Sparrow in the Chimney,Play SRF,-
Despicable Me 4,Peacock,-
Devotion,Paramount+,46 days
Distant,Showtime,-
Doctor Strange in the Multiverse of Madness,Disney+,47 days
Dog,Amazon,210 days
Doktor Svistok / Доктор Свисток,Megogo Russia,-
Don't Breathe 2,Starz,181 days
Don't Worry Darling,HBO Max,45 days
Doraemon: Nobita's Little Star Wars 2021 / ドラえもん: のび太 宇宙小戦争2021,Amazon,161 days
Downton Abbey: A New Era,Peacock,35 days
Drive-Away Dolls,Peacock,-
Drought / Siccità,"Amazon, NOW",-
Drowning,HBO Max,-
Dune,HBO Max,Day-and-Date
Dune: Part Two,HBO Max,-
Dungeons & Dragons: Honor Among Thieves,Paramount+,45 days
Easter Sunday,Showtime,-
Ecos de un crimen / Echoes of a Crime,HBO Max,53 days
El cuarto pasajero / Four's a Crowd,Movistar+,-
"El Falsificador / El falsador / Oswald, el falsificador",Filmin,Day-and-Date
El Juego de las Llaves / The Game of Keys,Atresplayer,-
El llanto / The Wailing,Amazon,-
El Muerto,Netflix,-
Elio,Disney+,-
Elvis,HBO Max,70 days
Empire Of Light,Disney+,51 days
Encanto,Disney+,45 days
Escape Room: Tournament of Champions,Starz,147 days
Eternals,Disney+,68 days
Everything Everywhere All At Once,Showtime,243 days
Evil Dead Rise,HBO Max,-
Fair Play,Hulu,-
Fairy Tale,Peacock,-
Fall,Starz,182 days
Falling,Peacock,-
Fantastic Beasts: The Secrets of Dumbledore,HBO Max,47 days
Fantastic Four,Disney+,-
Fast & Furious 9 / F9,HBO Max,252 days
Fast & Furious 11,Peacock,31 days
Fast X / Fast & Furious 10,Peacock,31 days
Father Stu,Netflix,156 days
Feed,Disney+,-
Firestarter,Peacock,Day-and-Date
Flash Gordon,Disney+,-
Flux Gourmet,Shudder,-
Fortress,Starz,-
Free Guy,"Disney+, HBO Max",194 days
Frozen 3,Disney+,-
Furiosa,HBO Max,-
Garfield,Netflix,-
Ghostbusters 5 / Ghostbusters: Afterlife 2 / Untitled Ghostbusters sequel,Netflix,-
Ghostbusters: Afterlife,Starz,181 days
Girasoles silvestres / Wild Flowers,Movistar+,-
God's Crooked Lines / Los renglones torcidos de Dios,Atresplayer,-
God's Time,AMC+,70 days
Godzilla vs. Kong,HBO Max,Day-and-Date
Godzilla vs. Kong 2 / Godzilla x Kong: The New Empire,HBO Max,-
Good Fortune,Starz,-
Goodbye Cruel World / グッバイ・クルエル・ワールド,Amazon,91 days
Gran Turismo,Netflix,-
Grande Sertão,Globoplay,-
Guardians of the Galaxy Vol. 3,Disney+,-
Gueules noires,OCS,-
Guys and Dolls,Netflix,-
Hagen,RTL+,-
Halloween Ends,Peacock,Day-and-Date
Halloween Kills,Peacock,Day-and-Date
Harbinger,Paramount+,-
Haunted Mansion,Disney+,-
Hell Naw,Netflix,-
Hercules,Disney+,-
Highlander,Starz,-
Hijo de Monarcas / Son of Monarchs,HBO Max,Day-and-Date
Honk for Jesus. Save Your Soul,Peacock,Day-and-Date
Hør her’a! / Hør på! / Listen Up!,Viaplay,-
Horizon: An American Saga,HBO Max,-
Horizon: An American Saga 2,HBO Max,-
Horizon: An American Saga 3,HBO Max,-
Hot Seat,Starz,-
House of Gucci,"MGM+, Amazon",158 days
How to Have Sex,MUBI,-
I Heart Murder,Netflix,-
I Wanna Dance With Somebody,Netflix,-
IF,Paramount+,-
Il mammone / The Mama's Boy,NOW,96 days
In the Heights,HBO Max,Day-and-Date
Indiana Jones 5 / Indiana Jones And The Dial Of Destiny,Disney+,-
Inside Out 2,Disney+,-
Insidious 5,Netflix,-
Jackass Forever,Paramount+,46 days
Jeanne du Barry,Netflix,450 days
John Wick: Chapter 4,Starz,-
John Wick: Chapter 5,Starz,-
Joker: Folie à deux / Joker 2,HBO Max,-
Judas and the Black Messiah,HBO Max,Day-and-Date
Jungle Cruise,Disney+,107 days
Jungle Cruise 2,Disney+,-
Jurassic World: Dominion,Peacock,84 days
Juror #2,HBO Max,-
Karate Kid,Netflix,-
Killer Vacation,HBO Max,-
King Richard,HBO Max,Day-and-Date
Knock at the Cabin,Peacock,49 days
Kraven the Hunter,Netflix,-
Kung Fu Panda 4,Peacock,-
L'Envol / Scarlet,Canal+,-
La Ermita / The Hermitage,Netflix,-
La familia perfecta / The Perfect Family,Netflix,159 days
Las leyes de la frontera / Outlaws,Netflix,45 days
Last Night in Soho,NOW,231 days
Late Night,Amazon,84 days
Les Indésirables / Undesirables,Canal+,-
Licorice Pizza,Amazon,223 days
Lie To Me The Truth / Соври мне правду,Start,-
Lightyear,Disney+,47 days
Lisa Frankenstein,Peacock,-
Live-action Moana remake,Disney+,-
Locked Out,Netflix,-
Los reyes del mundo / The Kings of the World,Netflix,83 days
Luca,Disney+,Day-and-Date
"Lyle, Lyle Crocodile",Netflix,120 days
M3GAN,Peacock,-
M3GAN 2.0,Peacock,-
Mack and Rita / Mack & Rita,Hulu,56 days
Madame Web,Netflix,-
Magic Mike’s Last Dance,HBO Max,-
Malignant,HBO Max,Day-and-Date
Mamá o papá / You Keep the Kids,Movistar+,147 days
Marcel The Shell With Shoes On,Showtime,-
Marry Me,Peacock,Day-and-Date
Más respeto que soy tu madre / Have More Respect for Your Mother,Star+ Latin America,-
Maude v Maude,HBO Max,-
Me contro Te - Il film: Persi nel tempo / Me Against You - The Film: Lost in Time,NOW,-
Me he hecho viral / I've Gone Viral,Atresplayer,-
Meebo And Me,HBO Max,-
Mickey 17,HBO Max,-
Midnight Run,Peacock,-
Migration,Peacock,-
Mindcage,Starz,-
Minecraft,HBO Max,-
Minions 2 / Minions: The Rise of Gru,Peacock,84 days
Missing,Netflix,-
Mission: Impossible – Dead Reckoning Part One / Mission: Impossible 7,Paramount+,45 days
Mission: Impossible 8,Paramount+,-
Modelo 77 / Prison 77,Movistar+,-
Moonfall,HBO Max,217 days
Morbius,Netflix,159 days
Mortal Kombat,HBO Max,Day-and-Date
Mortal Kombat 2,HBO Max,-
Moving On,Hulu,-
Mrs. K,Peacock,-
Mufasa: The Lion King,Disney+,-
Mulan,Disney+,90 days
My Animal,Paramount+,-
My Big Fat Greek Wedding 3,Peacock,-
My Broken Mariko / マイ・ブロークン・マリコ,Amazon,98 days
My Ex-Friend’s Wedding,Netflix,120 days
My Loneliness Has Wings / Mi soledad tiene alas,Netflix,-
National Treasure 3,Disney+,-
Next Goal Wins,Disney+,-
Night Swim,Peacock,-
Nightmare Alley,"Hulu, HBO Max",45 days
No Hard Feelings,Netflix,-
No Time to Die,Amazon,146 days
Nobody,HBO Max,302 days
Nomadland,Hulu,Day-and-Date
Nope,Peacock,119 days
Nosferatu,Peacock,-
Now You See Me 3,Starz,-
"Ó Pai, Ó 2 / Oh My God! 2",Globoplay,-
Objetos / Lost & Found,Amazon,113 days
Occupant,HBO Max,-
Occupied City,Disney+,-
"Oh, The Places You’ll Go!",HBO Max,-
Old,HBO Max,294 days
Olympics / 42 segundos,Amazon,-
On the Count of Three,Hulu,96 days
One Ranger,Starz,-
Oppenheimer,Peacock,100 days
Organ Trail,Paramount+,-
P​roblemista,Showtime,-
Paddington 3 / Paddington In Peru,NOW,-
Padre no hay más que uno 3,Amazon,-
Paint,AMC+,-
Parallel Mothers / Madres paralelas,Netflix,133 days
PAW Patrol: The Mighty Movie,Paramount+,-
PAW Patrol: The Movie,Paramount+,Day-and-Date
Paws of Fury: The Legend of Hank,Paramount+,45 days
Penelope,Disney+,-
People Just Do Nothing: Big in Japan,NOW,220 days
People We Meet On Vacation,Netflix,-
Perfect Addiction,Amazon,-
Peter Rabbit 2: The Runaway,Netflix,190 days
Piggy / Cerdita,Movistar+,-
Pippi Longstocking,NOW,-
Places We Have Never Been / Lugares a los que nunca hemos ido,Filmin,Day-and-Date
Plane,Starz,-
Por los pelos / By the Hair,Movistar+,-
Prey,Starz,-
Puntos suspensivos / Ellipsis,Amazon,-
Puss in Boots: The Last Wish,Peacock,79 days
Rachel Nevada,Paramount+,-
Ram Setu,Amazon,-
Raya and the Last Dragon,Disney+,90 days
Razorblade Tears,Paramount+,-
Redeeming Love,Peacock,45 days
Regulators,Peacock,-
Reminiscence,HBO Max,Day-and-Date
Renfield,Peacock,-
Resident Evil: Welcome to Raccoon City,Starz,180 days
Respect,MGM+,231 days
Resurrection,Shudder,91 days
Retribution,NOW,-
Roadrunner: A Film About Anthony Bourdain / Roadrunner,HBO Max,328 days
Rogue Squadron,Disney+,-
Ron's Gone Wrong,"Disney+, HBO Max",45 days
Room 428,Netflix,-
"Run, Rose, Run",Netflix,-
Rye Lane,Disney+,-
Salem's Lot,HBO Max,45 days
Sam and Victor’s Day Off,Paramount+,-
Saw X / Saw 10,Starz,-
Scream,Paramount+,53 days
Scream VI,Paramount+,-
See How They Run,HBO Max,46 days
Sesame Street,HBO Max,45 days
Shadow Force,Starz,-
Shang-Chi 2,Disney+,-
Shang-Chi and the Legend of the Ten Rings,Disney+,70 days
Shazam! Fury of the Gods,HBO Max,68 days
She Said,Peacock,49 days
Shibumi,HBO Max,-
Siege / Asedio,Amazon,-
Sing 2,Netflix,182 days
Sissy,Shudder,-
Skinamarink,Shudder,-
Sleepy Hollow,Paramount+,-
"Small, Slow But Steady / ケイコ 目を澄ませて",Amazon,154 days
Smile,Paramount+,46 days
Snake Eyes: G.I. Joe Origins,MGM+,90 days
Snow White,Disney+,-
Sonic the Hedgehog 2,Paramount+,46 days
Sonic the Hedgehog 3,Paramount+,-
Sooner Or Later,Disney+,-
Space Jam: A New Legacy,HBO Max,Day-and-Date
Speak No Evil,Peacock,-
Spencer,Amazon,220 days
Spider-Man: Across the Spider-Verse,Netflix,-
Spider-Man: Beyond The Spider-Verse,Netflix,-
Spider-Man: No Way Home,Starz,210 days
Spin Me Round,AMC+,Day-and-Date
Spiral,Starz,147 days
Spirit Untamed,"Peacock, Hulu",149 days
Spoiler Alert,Peacock,63 days
Strange World,Disney+,30 days
Strangers,Disney+,-
Strays,Peacock,-
Streets of Rage,Starz,-
Suddenly / Soudain seuls,NOW,-
Suncoast,Disney+,-
Super Mario Bros.,Peacock,45 days
Supergirl: Woman of Tomorrow,HBO Max,-
Superman: Legacy,HBO Max,-
Swamp Thing,HBO Max,-
Sweethearts,HBO Max,-
Tár,Peacock,112 days
Tausend Zeilen / A Thousand Lines,WOW,-
Teenage Mutant Ninja Turtles: Mutant Mayhem,Paramount+,-
The 355,Peacock,45 days
The Addams Family 2,MGM+,236 days
The Angry Black Girl and Her Monster,"AllBlk, Shudder",-
The Apology,"AMC+, Shudder",Day-and-Date
The Aristocats,Disney+,-
The Bad Guys,Peacock,70 days
The Banshees of Inisherin,HBO Max,53 days
The Batman,HBO Max,45 days
The Batman - Part II / The Batman 2,HBO Max,-
The Black Phone,Peacock,49 days
The Blackening,Starz,-
The Boogeyman,Hulu,-
The Boss Baby: Family Business / The Boss Baby 2,Peacock,Day-and-Date
The Bus of Life / El bus de la vida,Amazon,-
The Caretaker,Peacock,-
The Cat in the Hat,HBO Max,-
The Colour Room,NOW,Day-and-Date
The Confidence Man JP: Episode of the Hero / コンフィデンスマンJP 英雄編,FOD,-
The Conjuring 3: The Devil Made Me Do It,HBO Max,Day-and-Date
The Conjuring 4,HBO Max,-
The Contractor,Showtime,95 days
The Covenant,Amazon,-
The Dishwasher / Le Plongeur,Crave,-
The Eight Mountains / Le otto montagne,NOW,-
The Electrical Life of Louis Wain,Amazon,240 days
The Equalizer 3,Netflix,-
The Executioner,HBO Max,45 days
The Exorcist: Believer,Peacock,45 days
The Eyes of Tammy Faye,HBO Max,106 days
The Fabelmans,Showtime,-
The Fall Guy,Peacock,-
The Flash,HBO Max,45 days
The Forever Purge,HBO Max,287 days
The French Dispatch,HBO Max,126 days
"The Gangster, The Cop, The Devil",Paramount+,-
The Graveyard Book,Disney+,-
The Hanging Sun,NOW,-
The Housemaid,Starz,-
The Hummingbird / Il colibrì,RaiPlay,-
The Hunger Games: The Ballad of Songbirds and Snakes,Starz,-
The Invisible Woman,Peacock,-
The Invitation,Netflix,120 days
The King's Man,Disney+,45 days
The Lair,Shudder,90 days
The Last Duel,Disney+,45 days
The Last Letter from Your Lover,NOW,275 days
The Last Train to New York,HBO Max,-
The Last Voyage of the Demeter,Showtime,-
THE LEGEND & BUTTERFLY / レジェンド&バタフライ,Amazon,112 days
The Little Mermaid,Disney+,-
The Little Things,HBO Max,Day-and-Date
The Lord of the Rings: The War of the Rohirrim,HBO Max,-
The Lost Boys,HBO Max,-
The Lost City,Paramount+,46 days
The Machine,Netflix,-
The Many Saints of Newark,HBO Max,Day-and-Date
The Marvels,Disney+,-
The Matrix: Resurrections / The Matrix 4,HBO Max,Day-and-Date
The Meg 2: The Trench,HBO Max,-
The Menu,HBO Max,46 days
The Night House,HBO Max,232 days
The Nightingale,Netflix,-
The Northman,Peacock,42 days
The Nun 2,HBO Max,-
The Outrun,NOW,-
The Parties / Las Fiestas,Star+ Latin America,-
The Pope's Exorcist,Netflix,-
The Pope’s Exorcist 2,Netflix,-
The Princess Diaries 3 / Untitled Princess Diaries sequel,Disney+,-
The Return of Casanova / Il ritorno di Casanova,RaiPlay,-
The Rule Of Three,Netflix,-
The Saint,Paramount+,-
The Second 45 / 45 do Segundo Tempo,Globoplay,-
The Smurfs / The Smurfs Movie,Paramount+,-
The Space Between,Paramount+,297 days
The Stranger,Netflix,-
The Strangers,Starz,-
The Strangers 2,Starz,-
The Substance,Peacock,-
The Suicide Squad,HBO Max,Day-and-Date
The Sundance Kid Might Have Some Regrets,HBO Max,-
The Supremes At Earl’s All-You-Can-Eat,Disney+,-
The Test / El Test,Movistar+,120 days
The Three Wise Kings vs. Santa / Reyes contra Santa,Amazon,-
The Tiger's Apprentice,Paramount+,-
The Tragedy of Macbeth,Apple,Day-and-Date
The Treadmill / Tapirulàn,NOW,166 days
The Unbearable Weight of Massive Talent,Starz,180 days
The War Magician,NOW,-
The Woman King,Netflix,153 days
Theater Camp,Disney+,-
Thieves’ Gambit,Starz,-
Thing One and Thing Two,HBO Max,-
This Bird Has Flown,Peacock,-
This Time Tomorrow,Starz,-
Thor: Love and Thunder,Disney+,62 days
Those Who Wish Me Dead,HBO Max,Day-and-Date
Three Thousand Years Of Longing,MGM+,176 days
Thunderbolts,Disney+,-
Ti mangio il cuore / Burning Hearts,Paramount+,100 days
Ticket to Paradise,Peacock,56 days
Till,Amazon,-
To Catch a Thief,Paramount+,-
Todos los nombres de Dios / All the Names of God,Amazon,-
Tom & Jerry / Tom & Jerry: The Movie,HBO Max,Day-and-Date
Top Gun: Maverick,Paramount+,209 days
Toto,HBO Max,-
Touch,Peacock,-
Toy Story 5,Disney+,-
Transformers One,Paramount+,-
Transformers: Rise of the Beasts,Paramount+,-
Trolls World Tour / Trolls 2: World Tour,"Peacock, Hulu",144 days
Tron: Ares,Disney+,-
True Haunting,Netflix,-
Ultraman Decker Finale: Journey to Beyond / ウルトラマンデッカー最終章,Tsuburaya Imagination,Day-and-Date
Umma,Netflix,120 days
Un Amor / A Love,Movistar+,-
Un beau matin / One Fine Morning,Canal+,-
Un crimen argentino / An Argentine Crime,HBO Max,50 days
Uncharted,Netflix,168 days
Under the Boardwalk,Paramount+,45 days
Unseen,MGM+,73 days
Untitled Avatar: The Last Airbender movie 1 / Aang Avatar,Paramount+,-
Untitled Avatar: The Last Airbender movie 3 / Aang Avatar 3,Paramount+,-
Untitled Bee Gees Biopic,Paramount+,-
Untitled Beyblade movie,Paramount+,-
Untitled Big Thunder Mountain movie,Disney+,-
Untitled Clifford the Big Red Dog sequel,Paramount+,-
Untitled Cloverfield movie,Paramount+,-
Untitled Dodgeball: A True Underdog Story sequel / Dodgeball 2,Disney+,-
Untitled Gurinder Chadha Disney princess movie,Disney+,-
Untitled I Am Legend sequel,HBO Max,-
Untitled J.D. Dillard / Matt Owens Star Wars movie,Disney+,-
"Untitled Jon Watts, George Clooney, Brad Pitt",Apple,-
"Untitled Kendrick Lamar, Dave Free, Matt Stone/Trey Parker comedy",Paramount+,-
Untitled Kevin Feige Star Wars movie,Disney+,-
Untitled Leslie Jones Christmas comedy,Starz,-
Untitled M. Night Shyamalan movie,Peacock,-
Untitled Madonna biopic,Peacock,-
Untitled Mauricio de Sousa biopic,Star+ Latin America,-
Untitled Naked Gun reboot,Paramount+,-
Untitled Nativity musical,Netflix,-
Untitled Nicole Kassell Wizard of Oz remake,HBO Max,-
Untitled Nikyatu Jusu horror,Peacock,-
Untitled Please Don't Destroy buddy comedy,Peacock,-
Untitled Radio Silence Universal monster movie,Peacock,-
Untitled Shawn Levy Star Wars movie,Disney+,-
Untitled Society Of Explorers And Adventurers film,Disney+,-
Untitled SpongeBob SquarePants movie 4,Paramount+,-
Untitled Star Trek movie,Paramount+,-
Untitled Star Trek sequel / Star Trek 4,Paramount+,-
Untitled Steven Knight/Sharmeen Obaid-Chinoy Star Wars movie,Disney+,-
Untitled Taika Waititi Star Wars movie,Disney+,-
Untitled Transformers Sequel 1,Paramount+,-
Untitled Transformers Sequel 2,Paramount+,-
Veneciafrenia,Amazon,35 days
Vengeance,Peacock,49 days
Venom 3,Netflix,-
Venom: Let There Be Carnage,Starz,205 days
Venus,Amazon,-
Verano en rojo / Summer in Red,Movistar+,-
Violent Night,Peacock,49 days
Watcher,Shudder,84 days
Weapons,HBO Max,-
West Side Story,"Disney+, HBO Max",90 days
What Comes Around,AMC+,57 days
What Went Wrong? / ¿Qué hicimos mal?,HBO Max,130 days
Where the Crawdads Sing,Netflix,120 days
White Bird: A Wonder Story,Starz,-
Wicked: Part 1,Peacock,-
Wicked: Part 2,Peacock,-
Wilderness Reform,Paramount+,-
Wind River: The Next Chapter,HBO Max,-
Wise Guys,HBO Max,-
Wish,Disney+,-
Wolfman,Peacock,-
Wonka,HBO Max,45 days
Worlds Apart - Mondi Lontani / Life Upside-Down,AMC+,65 days
Wrath of Man,MGM+,217 days
Your Name,Paramount+,-
Zootopia 2,Disney+,-
Булки / Rolls,Megogo Russia,-
Декабрь / December,Start,-
ДИКИЕ / WILD,Megogo Russia,-
НЕПОСЛУШНИК-2 / Neposlushnik 2,Megogo Russia,-
Подельники / Partners in crime,Start,293 days
Честный развод / Honest Divorce,Megogo Russia,-
シン・ウルトラマン / Shin Ultraman,Amazon,189 days
ブラッククローバー 魔法帝の剣 / Black Clover: Sword of the Wizard King,Netflix,Day-and-Date
ホリック xxxHOLiC / Holic xxxHOLiC,Amazon,217 days
劇場版 呪術廻戦 0 / Jujutsu Kaisen 0,Amazon,365 days
映画 イチケイのカラス / Ichikei's Crow: The Movie,FOD,-
沈黙の艦隊 / Silence Fleet / The Silent Service,Amazon,-
65,Netflix,-
