Loglines,Sundance Movie,Comps,imdb ratings,imdb votes,box offices
"In the aftermath of a huge scandal, Trinitie Childs, the first lady of a prominent Southern Baptist megachurch, attempts to help her pastor husband, Lee-Curtis Childs, rebuild their congregation.","Honk for Jesus, Save Your Soul",High Heels,,,
"In the aftermath of a huge scandal, Trinitie Childs, the first lady of a prominent Southern Baptist megachurch, attempts to help her pastor husband, Lee-Curtis Childs, rebuild their congregation.","Honk for Jesus, Save Your Soul",New in Town,,,
"In the aftermath of a huge scandal, Trinitie Childs, the first lady of a prominent Southern Baptist megachurch, attempts to help her pastor husband, Lee-Curtis Childs, rebuild their congregation.","Honk for Jesus, Save Your Soul",The Miseducation of Cameron Post,,,
"In the aftermath of a huge scandal, Trinitie Childs, the first lady of a prominent Southern Baptist megachurch, attempts to help her pastor husband, Lee-Curtis Childs, rebuild their congregation.","Honk for Jesus, Save Your Soul",The Opposite of Sex,,,
"In the aftermath of a huge scandal, Trinitie Childs, the first lady of a prominent Southern Baptist megachurch, attempts to help her pastor husband, Lee-Curtis Childs, rebuild their congregation.","Honk for Jesus, Save Your Soul",The Reaping,,,
"In 1952 London, veteran civil servant Williams has become a small cog in the bureaucracy of rebuilding England post-WWII. As endless paperwork piles up on his desk, he learns he has a fatal illness. Thus begins his quest to find some meaning in his life before it slips away.",Living,The Madness of King George,,,
"In 1952 London, veteran civil servant Williams has become a small cog in the bureaucracy of rebuilding England post-WWII. As endless paperwork piles up on his desk, he learns he has a fatal illness. Thus begins his quest to find some meaning in his life before it slips away.",Living,The Emperor's Club,,,
"In 1952 London, veteran civil servant Williams has become a small cog in the bureaucracy of rebuilding England post-WWII. As endless paperwork piles up on his desk, he learns he has a fatal illness. Thus begins his quest to find some meaning in his life before it slips away.",Living,The Upside,,,
"In 1952 London, veteran civil servant Williams has become a small cog in the bureaucracy of rebuilding England post-WWII. As endless paperwork piles up on his desk, he learns he has a fatal illness. Thus begins his quest to find some meaning in his life before it slips away.",Living,A Coffee in Berlin,,,
"In 1952 London, veteran civil servant Williams has become a small cog in the bureaucracy of rebuilding England post-WWII. As endless paperwork piles up on his desk, he learns he has a fatal illness. Thus begins his quest to find some meaning in his life before it slips away.",Living,Mrs. Brown,,,
"Two childhood sweethearts, now both widowed, share a night by a lake in the mountains. A love story for those who are alone. ","Love Song, A",Downhill,,,
"Two childhood sweethearts, now both widowed, share a night by a lake in the mountains. A love story for those who are alone. ","Love Song, A",Message in a Bottle,,,
"Two childhood sweethearts, now both widowed, share a night by a lake in the mountains. A love story for those who are alone. ","Love Song, A",Before We Go,,,
"Two childhood sweethearts, now both widowed, share a night by a lake in the mountains. A love story for those who are alone. ","Love Song, A",The Descent,,,
"Two childhood sweethearts, now both widowed, share a night by a lake in the mountains. A love story for those who are alone. ","Love Song, A",Barb and Star Go to Vista Del Mar,,,
"Three women strive to find their place at an elite New England university. As the insidious specter of racism haunts the campus in increasingly supernatural fashion, each fights to survive in this space of privilege. ",Master,Black Christmas,,,
"Three women strive to find their place at an elite New England university. As the insidious specter of racism haunts the campus in increasingly supernatural fashion, each fights to survive in this space of privilege. ",Master,Sorority Boys,,,
"Three women strive to find their place at an elite New England university. As the insidious specter of racism haunts the campus in increasingly supernatural fashion, each fights to survive in this space of privilege. ",Master,The Bye Bye Man,,,
"Three women strive to find their place at an elite New England university. As the insidious specter of racism haunts the campus in increasingly supernatural fashion, each fights to survive in this space of privilege. ",Master,Set It Off,,,
"Three women strive to find their place at an elite New England university. As the insidious specter of racism haunts the campus in increasingly supernatural fashion, each fights to survive in this space of privilege. ",Master,Never Rarely Sometimes Always,,,
"Aisha is an undocumented nanny working for a privileged couple in New York City. As she prepares for the arrival of the son she left behind in Senegal, a violent supernatural presence invades her reality, threatening the American dream she is painstakingly piecing together. ",Nanny,Haywire,,,
"Aisha is an undocumented nanny working for a privileged couple in New York City. As she prepares for the arrival of the son she left behind in Senegal, a violent supernatural presence invades her reality, threatening the American dream she is painstakingly piecing together. ",Nanny,Bordertown,,,
"Aisha is an undocumented nanny working for a privileged couple in New York City. As she prepares for the arrival of the son she left behind in Senegal, a violent supernatural presence invades her reality, threatening the American dream she is painstakingly piecing together. ",Nanny,The Hole in the Ground,,,
"Aisha is an undocumented nanny working for a privileged couple in New York City. As she prepares for the arrival of the son she left behind in Senegal, a violent supernatural presence invades her reality, threatening the American dream she is painstakingly piecing together. ",Nanny,House at the End of the Street,,,
"Aisha is an undocumented nanny working for a privileged couple in New York City. As she prepares for the arrival of the son she left behind in Senegal, a violent supernatural presence invades her reality, threatening the American dream she is painstakingly piecing together. ",Nanny,Sin Nombre,,,
"Seventeen-year-old Lea spends her summer aimlessly tanning with her best friend, tiptoeing around her fragile mother, and getting stoned with a group of boys from school. This monotony is disrupted by an encounter with Tom, a man twice her age, who promises an alternative to Lea’s unsatisfying adolescent life. ",Palm Trees and Power Lines,Beach Rats,,,
"Seventeen-year-old Lea spends her summer aimlessly tanning with her best friend, tiptoeing around her fragile mother, and getting stoned with a group of boys from school. This monotony is disrupted by an encounter with Tom, a man twice her age, who promises an alternative to Lea’s unsatisfying adolescent life. ",Palm Trees and Power Lines,Fish Tank,,,
"Seventeen-year-old Lea spends her summer aimlessly tanning with her best friend, tiptoeing around her fragile mother, and getting stoned with a group of boys from school. This monotony is disrupted by an encounter with Tom, a man twice her age, who promises an alternative to Lea’s unsatisfying adolescent life. ",Palm Trees and Power Lines,The Butcher Boy,,,
"Seventeen-year-old Lea spends her summer aimlessly tanning with her best friend, tiptoeing around her fragile mother, and getting stoned with a group of boys from school. This monotony is disrupted by an encounter with Tom, a man twice her age, who promises an alternative to Lea’s unsatisfying adolescent life. ",Palm Trees and Power Lines,The Last Summer,,,
"Seventeen-year-old Lea spends her summer aimlessly tanning with her best friend, tiptoeing around her fragile mother, and getting stoned with a group of boys from school. This monotony is disrupted by an encounter with Tom, a man twice her age, who promises an alternative to Lea’s unsatisfying adolescent life. ",Palm Trees and Power Lines,The Hole,,,
"Margaret’s life is in order. She is capable, disciplined, and successful. Soon, her teenage daughter, who Margaret raised by herself, will be going off to a fine university, just as Margaret had intended. Everything is under control. That is, until David returns, carrying with him the horrors of Margaret’s past.",Resurrection,Big Eyes,,,
"Margaret’s life is in order. She is capable, disciplined, and successful. Soon, her teenage daughter, who Margaret raised by herself, will be going off to a fine university, just as Margaret had intended. Everything is under control. That is, until David returns, carrying with him the horrors of Margaret’s past.",Resurrection,Wild Child,,,
"Margaret’s life is in order. She is capable, disciplined, and successful. Soon, her teenage daughter, who Margaret raised by herself, will be going off to a fine university, just as Margaret had intended. Everything is under control. That is, until David returns, carrying with him the horrors of Margaret’s past.",Resurrection,Mamma Mia! Here We Go Again,,,
"Margaret’s life is in order. She is capable, disciplined, and successful. Soon, her teenage daughter, who Margaret raised by herself, will be going off to a fine university, just as Margaret had intended. Everything is under control. That is, until David returns, carrying with him the horrors of Margaret’s past.",Resurrection,The Other Sister,,,
"Margaret’s life is in order. She is capable, disciplined, and successful. Soon, her teenage daughter, who Margaret raised by herself, will be going off to a fine university, just as Margaret had intended. Everything is under control. That is, until David returns, carrying with him the horrors of Margaret’s past.",Resurrection,Ghost World,,,
"Sarah Jo is a naive 26-year-old living on the fringes of Hollywood with her mother (longing for money) and sister (longing for exposure). She just longs to be seen. When she begins an affair with her older employer, she is thrust into an education on sexuality, loss and power.",Sharp Stick,Swimming Pool,,,
"Sarah Jo is a naive 26-year-old living on the fringes of Hollywood with her mother (longing for money) and sister (longing for exposure). She just longs to be seen. When she begins an affair with her older employer, she is thrust into an education on sexuality, loss and power.",Sharp Stick,The Prodigy,,,
"Sarah Jo is a naive 26-year-old living on the fringes of Hollywood with her mother (longing for money) and sister (longing for exposure). She just longs to be seen. When she begins an affair with her older employer, she is thrust into an education on sexuality, loss and power.",Sharp Stick,Horse Girl,,,
"Sarah Jo is a naive 26-year-old living on the fringes of Hollywood with her mother (longing for money) and sister (longing for exposure). She just longs to be seen. When she begins an affair with her older employer, she is thrust into an education on sexuality, loss and power.",Sharp Stick,Kissing Jessica Stein,,,
"Sarah Jo is a naive 26-year-old living on the fringes of Hollywood with her mother (longing for money) and sister (longing for exposure). She just longs to be seen. When she begins an affair with her older employer, she is thrust into an education on sexuality, loss and power.",Sharp Stick,The To Do List,,,
"When neighbors John and Levi witness supernatural events in their Los Angeles apartment building, they realize documenting the paranormal could inject some fame and fortune into their wasted lives. An ever-deeper, darker rabbit hole, their friendship frays as they uncover the dangers of the phenomena, the city and each other. ",Something In The Dirt,The Apparition,,,
"When neighbors John and Levi witness supernatural events in their Los Angeles apartment building, they realize documenting the paranormal could inject some fame and fortune into their wasted lives. An ever-deeper, darker rabbit hole, their friendship frays as they uncover the dangers of the phenomena, the city and each other. ",Something In The Dirt,Life as We Know It,,,
"When neighbors John and Levi witness supernatural events in their Los Angeles apartment building, they realize documenting the paranormal could inject some fame and fortune into their wasted lives. An ever-deeper, darker rabbit hole, their friendship frays as they uncover the dangers of the phenomena, the city and each other. ",Something In The Dirt,The Good Neighbor,,,
"When neighbors John and Levi witness supernatural events in their Los Angeles apartment building, they realize documenting the paranormal could inject some fame and fortune into their wasted lives. An ever-deeper, darker rabbit hole, their friendship frays as they uncover the dangers of the phenomena, the city and each other. ",Something In The Dirt,We Are Still Here,,,
"When neighbors John and Levi witness supernatural events in their Los Angeles apartment building, they realize documenting the paranormal could inject some fame and fortune into their wasted lives. An ever-deeper, darker rabbit hole, their friendship frays as they uncover the dangers of the phenomena, the city and each other. ",Something In The Dirt,The Bye Bye Man,,,
During their last days of summer and childhood — the weekend before middle school begins — four girls struggle with the harsh truths of growing up and embark on a mysterious adventure.,Summering,Very Good Girls,,,
During their last days of summer and childhood — the weekend before middle school begins — four girls struggle with the harsh truths of growing up and embark on a mysterious adventure.,Summering,The Last Summer,,,
During their last days of summer and childhood — the weekend before middle school begins — four girls struggle with the harsh truths of growing up and embark on a mysterious adventure.,Summering,Mustang,,,
During their last days of summer and childhood — the weekend before middle school begins — four girls struggle with the harsh truths of growing up and embark on a mysterious adventure.,Summering,White Squall,,,
During their last days of summer and childhood — the weekend before middle school begins — four girls struggle with the harsh truths of growing up and embark on a mysterious adventure.,Summering,The Strangers: Prey at Night,,,
A young woman moves into a new apartment with her fiancé and is tormented by the feeling that she is being stalked by an unseen watcher in an adjacent building. ,Watcher,Vivarium,,,
A young woman moves into a new apartment with her fiancé and is tormented by the feeling that she is being stalked by an unseen watcher in an adjacent building. ,Watcher,The Den,,,
A young woman moves into a new apartment with her fiancé and is tormented by the feeling that she is being stalked by an unseen watcher in an adjacent building. ,Watcher,Don't Be Afraid of the Dark,,,
A young woman moves into a new apartment with her fiancé and is tormented by the feeling that she is being stalked by an unseen watcher in an adjacent building. ,Watcher,The Grudge,,,
A young woman moves into a new apartment with her fiancé and is tormented by the feeling that she is being stalked by an unseen watcher in an adjacent building. ,Watcher,No Good Deed,,,
"Evelyn and her oblivious son Ziggy seek out replacements for each other as Evelyn desperately tries to parent an unassuming teenager at her shelter, while Ziggy fumbles through his pursuit of a brilliant young woman at school.",When You Finish Saving the World,New York Minute,,,
"Evelyn and her oblivious son Ziggy seek out replacements for each other as Evelyn desperately tries to parent an unassuming teenager at her shelter, while Ziggy fumbles through his pursuit of a brilliant young woman at school.",When You Finish Saving the World,No Good Deed,,,
"Evelyn and her oblivious son Ziggy seek out replacements for each other as Evelyn desperately tries to parent an unassuming teenager at her shelter, while Ziggy fumbles through his pursuit of a brilliant young woman at school.",When You Finish Saving the World,"Angus, Thongs and Perfect Snogging",,,
"Evelyn and her oblivious son Ziggy seek out replacements for each other as Evelyn desperately tries to parent an unassuming teenager at her shelter, while Ziggy fumbles through his pursuit of a brilliant young woman at school.",When You Finish Saving the World,Hick,,,
"Evelyn and her oblivious son Ziggy seek out replacements for each other as Evelyn desperately tries to parent an unassuming teenager at her shelter, while Ziggy fumbles through his pursuit of a brilliant young woman at school.",When You Finish Saving the World,Fat Albert,,,
"In an isolated mountain village in 19th century Macedonia, a young feral witch accidentally kills a peasant. She assumes the peasant’s shape to see what life is like in her skin, igniting a deep-seated curiosity to experience life inside the bodies of others.",You Won't Be Alone,The Shrine,,,
"In an isolated mountain village in 19th century Macedonia, a young feral witch accidentally kills a peasant. She assumes the peasant’s shape to see what life is like in her skin, igniting a deep-seated curiosity to experience life inside the bodies of others.",You Won't Be Alone,The Musketeer,,,
"In an isolated mountain village in 19th century Macedonia, a young feral witch accidentally kills a peasant. She assumes the peasant’s shape to see what life is like in her skin, igniting a deep-seated curiosity to experience life inside the bodies of others.",You Won't Be Alone,The Witch,,,
"In an isolated mountain village in 19th century Macedonia, a young feral witch accidentally kills a peasant. She assumes the peasant’s shape to see what life is like in her skin, igniting a deep-seated curiosity to experience life inside the bodies of others.",You Won't Be Alone,The Other Side of the Door,,,
"In an isolated mountain village in 19th century Macedonia, a young feral witch accidentally kills a peasant. She assumes the peasant’s shape to see what life is like in her skin, igniting a deep-seated curiosity to experience life inside the bodies of others.",You Won't Be Alone,The Descent,,,
